LAMMPS (15 May 2015)
Reading data file ...
  triclinic box = (-0.107635 -0.0404339 -0.357111) to (41.3876 35.9384 29.5551) with tilt (-0.0672341 -17.0362 -0.0417078)
  5 by 4 by 3 MPI processor grid
  reading atoms ...
  4560 atoms
  reading velocities ...
  4560 velocities
  scanning bonds ...
  3 = max bonds/atom
  scanning angles ...
  3 = max angles/atom
  scanning dihedrals ...
  8 = max dihedrals/atom
  scanning impropers ...
  1 = max impropers/atom
  reading bonds ...
  5040 bonds
  reading angles ...
  7200 angles
  reading dihedrals ...
  10560 dihedrals
  reading impropers ...
  2400 impropers
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0         
 Special bond factors coul: 0          0          0         
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
4560 atoms in group all
720 atoms in group C
480 atoms in group S
1920 atoms in group H
720 atoms in group Si
240 atoms in group Na
240 atoms in group Ba
240 atoms in group O
4560 atoms in group naphthalene
1200 atoms in group fixed
960 atoms in group CO
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  720 settings made for charge
Setting atom values ...
  1920 settings made for charge
Setting atom values ...
  480 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Setting atom values ...
  240 settings made for charge
Finding 1-2 1-3 1-4 neighbors ...
 Special bond factors lj:   0          0          0.5       
 Special bond factors coul: 0          0          0.5       
  4 = max # of 1-2 neighbors
  8 = max # of 1-3 neighbors
  20 = max # of 1-4 neighbors
  16 = max # of special neighbors
PPPM initialization ...
  G vector (1/distance) = 0.253736
  grid = 12 12 15
  stencil order = 5
  estimated absolute RMS force accuracy = 1.98714e-05
  estimated relative force accuracy = 5.98421e-08
  using double precision FFTs
  3d grid and FFT values/proc = 864 48
Neighbor list info ...
  6 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 12
Setting up run ...
Memory usage per processor = 14.0371 Mbytes
Step Temp Density PotEng E_vdwl E_tail E_coul E_long Press Volume Xy Xz Yz E_mol E_bond E_angle E_dihed 14[1] 14[2] 14[3] msd[4] msd2[4] msd3[4] msd4[4] naphthal Cella Cellb Cellc CellAlpha CellBeta CellGamma 2 27[1] 27[2] 27[3] 
  610000     302.9321    1.2509986    3530.6628            0            0    2.1040083   -2.3243112   -7374.8854    44657.537 -0.067234084   -17.036218 -0.041707817    3530.8831     1482.732    980.73677    907.87965    28.380536    18.845684    14.337448 0.00034969267 0.00034968133 0.00035146846 0.00035143494     302.9321     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1049.078    28.379775    18.846112     14.33766 
  620000    288.92179    1.2509986    3529.7981            0            0    2.1008843   -2.3249873   -8228.0831    44657.537 -0.067234084   -17.036218 -0.041707817    3530.0222    1497.5536    968.50197    901.02069    28.380881     18.84667    14.337224 0.00033956098 0.00033935345 0.00034330157 0.00034302504    288.92179     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1018.683    28.379529    18.846252    14.337354 
  630000    300.36793    1.2509986    3461.6482            0            0    2.1020622   -2.3252069   -7199.2934    44657.537 -0.067234084   -17.036218 -0.041707817    3461.8714     1456.165    958.33351    891.19437     28.37845    18.845288     14.33769 0.00034700012 0.00034684965 0.00034860364 0.00034852869    300.36793     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1041.0003    28.379784    18.845805    14.337828 
  640000    292.73407    1.2509986    3514.8502            0            0    2.0998284    -2.325193   -8769.6492    44657.537 -0.067234084   -17.036218 -0.041707817    3515.0756    1518.3738    939.37644    899.10793    28.380567    18.846629    14.336702 0.00036915255 0.00036790277 0.00038087499 0.00037941801    292.73407     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1107.4577    28.380644    18.846135    14.337055 
  650000    299.58028    1.2509986    3453.8796            0            0    2.1030699   -2.3248773   -6968.3514    44657.537 -0.067234084   -17.036218 -0.041707817    3454.1014    1448.1416     955.6991    895.44506    28.378961    18.845014     14.33788 0.00035695511 0.00035650975 0.00036662947 0.00036638287    299.58028     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1070.8653    28.379582    18.846166    14.338382 
  660000    300.59716    1.2509986    3475.9805            0            0    2.1020733   -2.3250525   -8728.8829    44657.537 -0.067234084   -17.036218 -0.041707817    3476.2034    1487.6105    953.71752    881.03947    28.380722    18.845717     14.33828 0.00036935737 0.00036889909 0.00037233908 0.00037206906    300.59716     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1108.0721    28.380165    18.846577    14.338112 
  670000    299.19445    1.2509986    3491.4881            0            0    2.1003753   -2.3252144   -7477.1003    44657.537 -0.067234084   -17.036218 -0.041707817     3491.713    1516.3819    950.38677    871.68725    28.378273    18.844955     14.33697 0.00035258096 0.00035238393 0.00034749292 0.00034718035    299.19445     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1057.7429    28.379859    18.845828    14.337988 
  680000    300.40393    1.2509986    3453.0245            0            0    2.1045971    -2.325099   -7435.8181    44657.537 -0.067234084   -17.036218 -0.041707817     3453.245    1492.9525     972.2315    843.79163    28.379572    18.846341    14.336971 0.00034170148 0.00034149535 0.00034614372 0.00034569518    300.40393     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1025.1044    28.379642    18.846391    14.337354 
  690000    294.85336    1.2509986    3492.1569            0            0    2.1041073   -2.3248837    -8387.382    44657.537 -0.067234084   -17.036218 -0.041707817    3492.3776    1491.6578    978.06485     870.3512      28.3801    18.845241    14.337287 0.00034791046 0.00034786643 0.00033746741 0.00033723385    294.85336     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1043.7314    28.379781    18.846228    14.337943 
  700000    295.62469    1.2509986    3560.4961            0            0     2.098474   -2.3251619   -8598.1192    44657.537 -0.067234084   -17.036218 -0.041707817    3560.7228    1536.0186    981.95467    890.62434    28.374801     18.84537    14.336347 0.00034143125 0.00034135029 0.00034296787 0.00034286305    295.62469     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1024.2938    28.379664     18.84644    14.337667 
  710000    298.78872    1.2509986    3529.4544            0            0    2.1037052    -2.324303   -8369.7744    44657.537 -0.067234084   -17.036218 -0.041707817     3529.675    1532.1688    963.59419    885.56884    28.378653    18.845394    14.337525 0.00036403458 0.00036325398 0.00037130807 0.00037066824    298.78872     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1092.1037    28.379111    18.845876    14.337225 
  720000    290.65421    1.2509986    3482.4296            0            0    2.1024445   -2.3245759    -8804.169    44657.537 -0.067234084   -17.036218 -0.041707817    3482.6517    1463.3761    964.52079    895.72754    28.380946    18.846299    14.338027 0.0003623175 0.00036230984 0.00036510615 0.00036507357    290.65421     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1086.9525    28.379713    18.846253    14.337722 
  730000     295.8742    1.2509986    3537.3655            0            0    2.1027946   -2.3245651   -7599.7223    44657.537 -0.067234084   -17.036218 -0.041707817    3537.5872    1516.3114    959.51588    906.16084    28.379902    18.844325     14.33655 0.00035998157 0.0003596067 0.00036518041 0.00036479927     295.8742     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1079.9447    28.379501    18.845849    14.337296 
  740000    300.14246    1.2509986    3449.5027            0            0    2.1016693   -2.3245028   -8247.1401    44657.537 -0.067234084   -17.036218 -0.041707817    3449.7256    1468.1091    943.27622    882.99217    28.378844    18.845943    14.337169   0.00035353 0.00035348757 0.00035182149 0.00035171213    300.14246     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069      1060.59    28.379728    18.845984    14.337693 
  750000    296.41564    1.2509986    3503.0286            0            0    2.1058833   -2.3244756   -8880.1985    44657.537 -0.067234084   -17.036218 -0.041707817    3503.2472    1454.1679    982.41818    905.05757     28.37777    18.844547    14.337073 0.00036022955 0.00036020916 0.00036481059 0.00036466341    296.41564     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1080.6887    28.379839    18.846296    14.337776 
  760000    296.64111    1.2509986    3488.4035            0            0    2.1042993   -2.3245155   -7471.3097    44657.537 -0.067234084   -17.036218 -0.041707817    3488.6237    1484.9424    975.52081    874.83258    28.380858    18.847153    14.337318 0.00035318677 0.00035275681 0.00034401145 0.00034356542    296.64111     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1059.5603    28.380371     18.84615    14.337501 
  770000    293.75245    1.2509986    3447.2078            0            0    2.1051974   -2.3246764   -6519.6514    44657.537 -0.067234084   -17.036218 -0.041707817    3447.4273     1455.544    962.96219    880.95389    28.378142     18.84472    14.337373 0.00034515762 0.00034510309 0.00034534987 0.00034517639    293.75245     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1035.4729    28.379606    18.846125    14.337904 
  780000    297.47366    1.2509986     3561.913            0            0    2.1055578   -2.3243023   -8739.4947    44657.537 -0.067234084   -17.036218 -0.041707817    3562.1318    1535.2176    985.91957    891.54436    28.379885    18.844576    14.337906 0.00035615872 0.00035587623 0.0003568479 0.00035667383    297.47366     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1068.4762    28.379431    18.846073    14.338142 
  790000    299.64751    1.2509986    3549.3743            0            0     2.105278   -2.3241625     -7260.52    44657.537 -0.067234084   -17.036218 -0.041707817    3549.5932    1526.9544    982.80136    884.96688    28.379502    18.845332    14.337011 0.00035673777 0.00035630675 0.00035831575 0.00035793188    299.64751     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069    1070.2133    28.379851    18.845599    14.337451 
  800000    301.24341    1.2509986    3545.2607            0            0    2.1017247    -2.324568   -9639.2533    44657.537 -0.067234084   -17.036218 -0.041707817    3545.4835    1516.9617    977.76824    896.63316    28.379335    18.846031    14.336416 0.00034789865 0.00034771167 0.00034893992 0.00034854655    301.24341     41.49527    35.978931    34.423473    90.016431    119.66323    90.107069     1043.696    28.380193    18.846196    14.337759 
Loop time of 2301.85 on 60 procs for 800000 steps with 4560 atoms

Pair  time (%) = 437.056 (18.9872)
Bond  time (%) = 47.1458 (2.04817)
Kspce time (%) = 1143 (49.6556)
Neigh time (%) = 12.5458 (0.545034)
Comm  time (%) = 462.216 (20.0802)
Outpt time (%) = 0.496734 (0.0215798)
Other time (%) = 199.39 (8.6622)

Nlocal:    76 ave 84 max 68 min
Histogram: 2 4 3 13 9 10 7 3 6 3
Nghost:    3994.98 ave 4077 max 3890 min
Histogram: 4 7 5 4 2 1 9 14 10 4
Neighs:    28107 ave 30958 max 25256 min
Histogram: 4 1 7 12 8 7 7 4 6 4

Total # of neighbors = 1686420
Ave neighs/atom = 369.829
Ave special neighs/atom = 10.6316
Neighbor list builds = 5511
Dangerous builds = 0
System init for write_data ...
PPPM initialization ...
  G vector (1/distance) = 0.253736
  grid = 12 12 15
  stencil order = 5
  estimated absolute RMS force accuracy = 1.98714e-05
  estimated relative force accuracy = 5.98421e-08
  using double precision FFTs
  3d grid and FFT values/proc = 864 48
